X,Y,Lat,Lon,radius
477670.326542627,5631831.35290855,50.83776,8.68288,"60"
477551.689687132,5631589.44221886,50.83558,8.68121,"80"
477331.105123583,5632518.93908105,50.84393,8.67802,"75"
477207.290743363,5632220.3452628,50.84124,8.67628,"80"
